subID	 trial	 setSize	 targetPresent	 response	 RT
subID	 trial	 setSize	 targetPresent	 response	 RT
key1	 1	 4	 1	 p	 7.262722
key1	 2	 8	 1	 p	 1.186016
key1	 3	 4	 0	 p	 3.482089
key1	 4	 8	 1	 p	 2.976204
key1	 5	 4	 1	 p	 1.615475
key1	 6	 4	 0	 p	 0.769256
key1	 7	 8	 1	 p	 0.921103
key1	 8	 8	 0	 p	 2.624241
key1	 9	 12	 1	 p	 2.335707
key1	 10	 4	 0	 p	 4.436253
key1	 11	 12	 1	 p	 2.171291
key1	 12	 8	 0	 p	 0.828878
key1	 13	 12	 1	 p	 3.731647
key1	 14	 4	 1	 p	 1.362604
key1	 15	 12	 1	 p	 3.861025
key1	 16	 4	 0	 p	 0.751148
key1	 17	 12	 0	 p	 0.407986
